artist;title;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
the gladiators;bumping and boring;7fsG6Cgz9mALjwgky6wGa5;0.808;0.667;7;-10.114;0;0.105;0.0269;0.000127;0.301;0.934;147.839;audio_features;spotify:track:7fsG6Cgz9mALjwgky6wGa5;https://api.spotify.com/v1/tracks/7fsG6Cgz9mALjwgky6wGa5;https://api.spotify.com/v1/audio-analysis/7fsG6Cgz9mALjwgky6wGa5;208194;4
the cleaners from venus;tukani (monday is grey);1pyWBXRp3yxygdYW4nnyzj;0.626;0.653;9;-7.346;1;0.116;0.0308;0.0915;0.103;0.283;139.551;audio_features;spotify:track:1pyWBXRp3yxygdYW4nnyzj;https://api.spotify.com/v1/tracks/1pyWBXRp3yxygdYW4nnyzj;https://api.spotify.com/v1/audio-analysis/1pyWBXRp3yxygdYW4nnyzj;329173;4
onerepublic;i lived;3IQF4xCQUPicbA4hWfTxPo;0.593;0.851;9;-5.456;1;0.0446;0.0683;0.0;0.271;0.344;119.987;audio_features;spotify:track:3IQF4xCQUPicbA4hWfTxPo;https://api.spotify.com/v1/tracks/3IQF4xCQUPicbA4hWfTxPo;https://api.spotify.com/v1/audio-analysis/3IQF4xCQUPicbA4hWfTxPo;234547;4
brenda lee;fly me to the moon;6mDWosyeNQErrIaVoxcWjo;0.252;0.155;8;-11.684;1;0.0297;0.864;4.34e-06;0.158;0.144;74.292;audio_features;spotify:track:6mDWosyeNQErrIaVoxcWjo;https://api.spotify.com/v1/tracks/6mDWosyeNQErrIaVoxcWjo;https://api.spotify.com/v1/audio-analysis/6mDWosyeNQErrIaVoxcWjo;142920;3
the impressions;fool for you;7ppPgpUdNPbHhuqYwN2SXu;0.457;0.655;3;-7.693;0;0.0482;0.0561;0.0;0.505;0.527;80.941;audio_features;spotify:track:7ppPgpUdNPbHhuqYwN2SXu;https://api.spotify.com/v1/tracks/7ppPgpUdNPbHhuqYwN2SXu;https://api.spotify.com/v1/audio-analysis/7ppPgpUdNPbHhuqYwN2SXu;172813;4
the offspring;bad habit;5tFzUj1jV09bo4wBQWSbDl;0.354;0.73;2;-7.581;1;0.0791;0.0251;0.0;0.106;0.383;148.08;audio_features;spotify:track:5tFzUj1jV09bo4wBQWSbDl;https://api.spotify.com/v1/tracks/5tFzUj1jV09bo4wBQWSbDl;https://api.spotify.com/v1/audio-analysis/5tFzUj1jV09bo4wBQWSbDl;223907;4
rainbow;all night long;2BlLttMcD1dSH4Jv2wjWLp;0.571;0.945;7;-6.346;0;0.0461;0.0518;7.75e-05;0.793;0.772;128.166;audio_features;spotify:track:2BlLttMcD1dSH4Jv2wjWLp;https://api.spotify.com/v1/tracks/2BlLttMcD1dSH4Jv2wjWLp;https://api.spotify.com/v1/audio-analysis/2BlLttMcD1dSH4Jv2wjWLp;230533;4
david axelrod;a dream;1xxNAeR43Hs4gAl0UnYugu;0.398;0.121;5;-17.689;1;0.0422;0.456;0.667;0.0959;0.091;101.137;audio_features;spotify:track:1xxNAeR43Hs4gAl0UnYugu;https://api.spotify.com/v1/tracks/1xxNAeR43Hs4gAl0UnYugu;https://api.spotify.com/v1/audio-analysis/1xxNAeR43Hs4gAl0UnYugu;153253;4
pantera;this love;0Yfpc5zHc9pElVCQ1bPlF4;0.402;0.73;6;-9.327;1;0.0455;0.000312;0.323;0.103;0.296;104.527;audio_features;spotify:track:0Yfpc5zHc9pElVCQ1bPlF4;https://api.spotify.com/v1/tracks/0Yfpc5zHc9pElVCQ1bPlF4;https://api.spotify.com/v1/audio-analysis/0Yfpc5zHc9pElVCQ1bPlF4;393706;4
louis armstrong;the song is ended;3yIlLg3MxkxhDJZ9zy8KWW;0.636;0.16;2;-12.617;1;0.126;0.97;0.03;0.0966;0.542;71.294;audio_features;spotify:track:3yIlLg3MxkxhDJZ9zy8KWW;https://api.spotify.com/v1/tracks/3yIlLg3MxkxhDJZ9zy8KWW;https://api.spotify.com/v1/audio-analysis/3yIlLg3MxkxhDJZ9zy8KWW;190414;4
bob wills;my adobe hacienda;63xxuu8o1b1l1epo3JaJB1;0.341;0.378;0;-14.493;1;0.0363;0.665;8.24e-05;0.33;0.654;131.102;audio_features;spotify:track:63xxuu8o1b1l1epo3JaJB1;https://api.spotify.com/v1/tracks/63xxuu8o1b1l1epo3JaJB1;https://api.spotify.com/v1/audio-analysis/63xxuu8o1b1l1epo3JaJB1;130760;4
mark chesnutt;blame it on texas;4sIrP85JzNsDMAtQmusMWG;0.512;0.639;9;-11.483;1;0.0308;0.06;0.0;0.105;0.782;155.411;audio_features;spotify:track:4sIrP85JzNsDMAtQmusMWG;https://api.spotify.com/v1/tracks/4sIrP85JzNsDMAtQmusMWG;https://api.spotify.com/v1/audio-analysis/4sIrP85JzNsDMAtQmusMWG;171360;4
judas priest;some heads are gonna roll;4vWdaYRTWwZSmFPv9MffcS;0.423;0.807;6;-5.16;0;0.0468;0.00047;0.00126;0.617;0.267;122.874;audio_features;spotify:track:4vWdaYRTWwZSmFPv9MffcS;https://api.spotify.com/v1/tracks/4vWdaYRTWwZSmFPv9MffcS;https://api.spotify.com/v1/audio-analysis/4vWdaYRTWwZSmFPv9MffcS;247667;4
silverstein;my heroine;6NDoBIaqTHdcudaR8RDJNw;0.412;0.823;4;-2.572;0;0.0323;9.62e-05;8.25e-05;0.153;0.162;154.115;audio_features;spotify:track:6NDoBIaqTHdcudaR8RDJNw;https://api.spotify.com/v1/tracks/6NDoBIaqTHdcudaR8RDJNw;https://api.spotify.com/v1/audio-analysis/6NDoBIaqTHdcudaR8RDJNw;207587;4
richard marx;right here waiting;4LFwNJWoj74Yd71fIr1W8x;0.395;0.252;0;-13.589;1;0.0301;0.8;0.0;0.101;0.126;177.679;audio_features;spotify:track:4LFwNJWoj74Yd71fIr1W8x;https://api.spotify.com/v1/tracks/4LFwNJWoj74Yd71fIr1W8x;https://api.spotify.com/v1/audio-analysis/4LFwNJWoj74Yd71fIr1W8x;264333;4
harry connick, jr.;buried in blue;009n0zqtbcRTL7T4TiGf41;0.186;0.0238;0;-24.374;0;0.0366;0.867;0.000211;0.0753;0.0372;80.792;audio_features;spotify:track:009n0zqtbcRTL7T4TiGf41;https://api.spotify.com/v1/tracks/009n0zqtbcRTL7T4TiGf41;https://api.spotify.com/v1/audio-analysis/009n0zqtbcRTL7T4TiGf41;414827;1
johnny cash;let me down easy;41xaFzQ5PvNnACNSM8Ulhx;0.58;0.401;8;-8.173;1;0.0331;0.869;0.000643;0.107;0.794;135.237;audio_features;spotify:track:41xaFzQ5PvNnACNSM8Ulhx;https://api.spotify.com/v1/tracks/41xaFzQ5PvNnACNSM8Ulhx;https://api.spotify.com/v1/audio-analysis/41xaFzQ5PvNnACNSM8Ulhx;105947;4
maddie & tae;downside of growing up;1VMm5rgAijgUtzq8ZZWEKl;0.473;0.757;3;-3.293;1;0.0322;0.297;0.0;0.22;0.544;76.216;audio_features;spotify:track:1VMm5rgAijgUtzq8ZZWEKl;https://api.spotify.com/v1/tracks/1VMm5rgAijgUtzq8ZZWEKl;https://api.spotify.com/v1/audio-analysis/1VMm5rgAijgUtzq8ZZWEKl;208200;1
gladys knight & the pips;best thing that ever happened to me;0bYwN4LqZYLfs9ZEHPXjBC;0.352;0.545;1;-11.939;0;0.0871;0.309;0.0563;0.106;0.459;189.498;audio_features;spotify:track:0bYwN4LqZYLfs9ZEHPXjBC;https://api.spotify.com/v1/tracks/0bYwN4LqZYLfs9ZEHPXjBC;https://api.spotify.com/v1/audio-analysis/0bYwN4LqZYLfs9ZEHPXjBC;224987;4
sammy hagar;remember the heroes;71Ezs8lmP2PHuo7BPpEz3t;0.545;0.483;6;-11.161;0;0.0337;0.0177;0.00123;0.362;0.514;126.819;audio_features;spotify:track:71Ezs8lmP2PHuo7BPpEz3t;https://api.spotify.com/v1/tracks/71Ezs8lmP2PHuo7BPpEz3t;https://api.spotify.com/v1/audio-analysis/71Ezs8lmP2PHuo7BPpEz3t;360507;4
jeff beck;situation;45N3OZJpMPrKgjbAiYMxSl;0.503;0.639;11;-12.884;1;0.0307;0.233;0.118;0.122;0.949;91.396;audio_features;spotify:track:45N3OZJpMPrKgjbAiYMxSl;https://api.spotify.com/v1/tracks/45N3OZJpMPrKgjbAiYMxSl;https://api.spotify.com/v1/audio-analysis/45N3OZJpMPrKgjbAiYMxSl;328160;4
keb' mo';imagine;5xSPuhsTwNoQY1mnYzyvo7;0.564;0.148;9;-18.588;1;0.0324;0.802;0.0262;0.181;0.284;133.004;audio_features;spotify:track:5xSPuhsTwNoQY1mnYzyvo7;https://api.spotify.com/v1/tracks/5xSPuhsTwNoQY1mnYzyvo7;https://api.spotify.com/v1/audio-analysis/5xSPuhsTwNoQY1mnYzyvo7;294773;4
thirty seconds to mars;up in the air;0zqwz7SNny9fwqSDpIu4qN;0.483;0.862;11;-3.864;0;0.0857;0.00577;0.0;0.227;0.449;124.025;audio_features;spotify:track:0zqwz7SNny9fwqSDpIu4qN;https://api.spotify.com/v1/tracks/0zqwz7SNny9fwqSDpIu4qN;https://api.spotify.com/v1/audio-analysis/0zqwz7SNny9fwqSDpIu4qN;275787;4
the beatnuts;find us (in the back of the club);6VtY5WnJpl3TlLDsjT5fIq;0.825;0.844;1;-6.152;1;0.262;0.24;0.0;0.35;0.822;94.96;audio_features;spotify:track:6VtY5WnJpl3TlLDsjT5fIq;https://api.spotify.com/v1/tracks/6VtY5WnJpl3TlLDsjT5fIq;https://api.spotify.com/v1/audio-analysis/6VtY5WnJpl3TlLDsjT5fIq;194093;4
beach house;space song;7H0ya83CMmgFcOhw0UB6ow;0.508;0.792;0;-7.311;0;0.0297;0.229;0.124;0.145;0.601;147.067;audio_features;spotify:track:7H0ya83CMmgFcOhw0UB6ow;https://api.spotify.com/v1/tracks/7H0ya83CMmgFcOhw0UB6ow;https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow;320467;4
hank williams, jr.;give a damn;2SFGCYpjUttpEwWiInreFg;0.718;0.693;7;-10.202;1;0.0322;0.411;0.0;0.115;0.894;115.465;audio_features;spotify:track:2SFGCYpjUttpEwWiInreFg;https://api.spotify.com/v1/tracks/2SFGCYpjUttpEwWiInreFg;https://api.spotify.com/v1/audio-analysis/2SFGCYpjUttpEwWiInreFg;155040;3
clinton fearon;stop the hate;0hDtDAEkElUlRYis7NuIWa;0.925;0.43;5;-8.897;0;0.0522;0.153;3.32e-05;0.12;0.818;132.378;audio_features;spotify:track:0hDtDAEkElUlRYis7NuIWa;https://api.spotify.com/v1/tracks/0hDtDAEkElUlRYis7NuIWa;https://api.spotify.com/v1/audio-analysis/0hDtDAEkElUlRYis7NuIWa;386840;4
steve earle;when i fall;4t0JQ68Fha6xsR2gjAESZv;0.466;0.679;9;-6.062;1;0.0273;7.94e-05;3.52e-06;0.176;0.581;115.089;audio_features;spotify:track:4t0JQ68Fha6xsR2gjAESZv;https://api.spotify.com/v1/tracks/4t0JQ68Fha6xsR2gjAESZv;https://api.spotify.com/v1/audio-analysis/4t0JQ68Fha6xsR2gjAESZv;274653;4
supersuckers;the fight song;5NcDoMX2hXGWPFI3an7rmb;0.242;0.84;1;-3.985;1;0.0513;0.000203;6.84e-06;0.31;0.474;136.812;audio_features;spotify:track:5NcDoMX2hXGWPFI3an7rmb;https://api.spotify.com/v1/tracks/5NcDoMX2hXGWPFI3an7rmb;https://api.spotify.com/v1/audio-analysis/5NcDoMX2hXGWPFI3an7rmb;220000;4
the black angels;the executioner;67st1xo88lE2buPzGCFW0X;0.272;0.655;5;-6.442;0;0.0393;0.00395;0.00547;0.156;0.11;154.173;audio_features;spotify:track:67st1xo88lE2buPzGCFW0X;https://api.spotify.com/v1/tracks/67st1xo88lE2buPzGCFW0X;https://api.spotify.com/v1/audio-analysis/67st1xo88lE2buPzGCFW0X;215080;4
third eye blind;narcolepsy;0DxirjMd0sE5C1annYHtt7;0.381;0.786;9;-7.596;1;0.0459;0.00072;1.16e-05;0.256;0.231;138.803;audio_features;spotify:track:0DxirjMd0sE5C1annYHtt7;https://api.spotify.com/v1/tracks/0DxirjMd0sE5C1annYHtt7;https://api.spotify.com/v1/audio-analysis/0DxirjMd0sE5C1annYHtt7;228453;4
ritchie valens;rockin' all night;29fYdYrLsmhvnz7krXGCBf;0.548;0.747;9;-8.401;1;0.037;0.843;0.00156;0.118;0.771;84.823;audio_features;spotify:track:29fYdYrLsmhvnz7krXGCBf;https://api.spotify.com/v1/tracks/29fYdYrLsmhvnz7krXGCBf;https://api.spotify.com/v1/audio-analysis/29fYdYrLsmhvnz7krXGCBf;139160;4
zz top;sleeping bag;1ESuT2y9AKu1zMdxq47qW5;0.62;0.688;7;-12.892;1;0.0435;0.00181;0.00482;0.0464;0.793;112.122;audio_features;spotify:track:1ESuT2y9AKu1zMdxq47qW5;https://api.spotify.com/v1/tracks/1ESuT2y9AKu1zMdxq47qW5;https://api.spotify.com/v1/audio-analysis/1ESuT2y9AKu1zMdxq47qW5;242333;4
uncle kracker;hey hey hey;19mWzZZdEwzVTbagLVuTgn;0.537;0.868;6;-3.632;1;0.036;0.000808;0.0;0.177;0.69;116.982;audio_features;spotify:track:19mWzZZdEwzVTbagLVuTgn;https://api.spotify.com/v1/tracks/19mWzZZdEwzVTbagLVuTgn;https://api.spotify.com/v1/audio-analysis/19mWzZZdEwzVTbagLVuTgn;208707;4
